6:1	בני|HNcmpc|H1121|SON  לוי|HNp|H3878|  גרשון|HNp|H1648|  קהת|HNp|H6955|  ומררי|HC/Np|H4847|
6:37	בן|HNcmsc|H1121|SON  תחת|HR|H8480|  בן|HNcmsc|H1121|SON  אסיר|HNp|H617|  בן|HNcmsc|H1121|SON  אביסף|HNp|H43|  בן|HNcmsc|H1121|SON  קרח|HNp|H7141|
6:38	בן|HNcmsc|H1121|SON  יצהר|HNp|H3324|  בן|HNcmsc|H1121|SON  קהת|HNp|H6955|  בן|HNcmsc|H1121|SON  לוי|HNp|H3878|  בן|HNcmsc|H1121|SON  ישראל|HNp|H3478|
6:39	ואחיו|HC/Ncmsc/Sp3ms|H251|BROTHER  אסף|HNp|H623|  העמד|HTd/Vqrmsa|H5975|STAND (V)  על|HR|H5921|UPON  ימינו|HNcfsc/Sp3ms|H3225|RIGHT HAND  אסף|HNp|H623|  בן|HNcmsc|H1121|SON  ברכיהו|HNp|H1296|  בן|HNcmsc|H1121|SON  שמעא|HNp|H8092|
6:40	בן|HNcmsc|H1121|SON  מיכאל|HNp|H4317|  בן|HNcmsc|H1121|SON  בעשיה|HNp|H1202|  בן|HNcmsc|H1121|SON  מלכיה|HNp|H4441|
6:41	בן|HNcmsc|H1121|SON  אתני|HNp|H867|  בן|HNcmsc|H1121|SON  זרח|HNp|H2226|  בן|HNcmsc|H1121|SON  עדיה|HNp|H5718|
6:42	בן|HNcmsc|H1121|SON  איתן|HNp|H387|  בן|HNcmsc|H1121|SON  זמה|HNp|H2155|  בן|HNcmsc|H1121|SON  שמעי|HNp|H8096|
6:43	בן|HNcmsc|H1121|SON  יחת|HNp|H3189|  בן|HNcmsc|H1121|SON  גרשם|HNp|H1647|  בן|HNcmsc|H1121|SON  לוי|HNp|H3878|
6:44	ובני|HC/Ncmpc|H1121|SON  מררי|HNp|H4847|  אחיהם|HNcmpc/Sp3mp|H251|BROTHER  על|HR|H5921|UPON  השמאול|HTd/Ncmsa|H8040|  איתן|HNp|H387|  בן|HNcmsc|H1121|SON  קישי|HNp|H7029|  בן|HNcmsc|H1121|SON  עבדי|HNp|H5660|  בן|HNcmsc|H1121|SON  מלוך|HNp|H4409|
6:45	בן|HNcmsc|H1121|SON  חשביה|HNp|H2811|  בן|HNcmsc|H1121|SON  אמציה|HNp|H558|  בן|HNcmsc|H1121|SON  חלקיה|HNp|H2518|
6:46	בן|HNcmsc|H1121|SON  אמצי|HNp|H557|  בן|HNcmsc|H1121|SON  בני|HNp|H1137|  בן|HNcmsc|H1121|SON  שמר|HNp|H8106|
6:47	בן|HNcmsc|H1121|SON  מחלי|HNp|H4249|  בן|HNcmsc|H1121|SON  מושי|HNp|H4187|  בן|HNcmsc|H1121|SON  מררי|HNp|H4847|  בן|HNcmsc|H1121|SON  לוי|HNp|H3878|
6:48	ואחיהם|HC/Ncmpc/Sp3mp|H251|BROTHER  הלוים|HTd/Ngmpa|H3881|  נתונים|HVqsmpa|H5414|TERRIBLE  לכל|HR/Ncmsc|H3605|ALL  עבודת|HNcfsc|H5656|SERVICE  משכן|HNcmsc|H4908|DWELLING  בית|HNcmsc|H1004|LODGE (V)  האלהים|HTd/Ncmpa|H430|POWER
6:49	ואהרן|HC/Np|H175|  ובניו|HC/Ncmpc/Sp3ms|H1121|SON  מקטירים|HVhrmpa|H6999|BURN INCENSE (V)  על|HR|H5921|UPON  מזבח|HNcmsc|H4196|ALTAR  העולה|HTd/Ncfsa|H5930|BURNT OFFERING  ועל|HC/R|H5921|UPON  מזבח|HNcmsc|H4196|ALTAR  הקטרת|HTd/Ncfsa|H7004|INCENSE SMOKE  לכל|HR/Ncmsc|H3605|ALL  מלאכת|HNcfsc|H4399|BUSINESS  קדש|HNcmsc|H6944|SPECIAL  הקדשים|HTd/Ncmpa|H6944|SPECIAL  ולכפר|HC/R/Vpc|H3722|COVER (V)  על|HR|H5921|UPON  ישראל|HNp|H3478|  ככל|HR/Ncmsa|H3605|ALL  אשר|HTr|H834|WHICH  צוה|HVpp3ms|H6680|DIRECT (V)  משה|HNp|H4872|  עבד|HNcmsc|H5650|SERVANT  האלהים|HTd/Ncmpa|H430|POWER
6:50	ואלה|HC/Pdxcp|H428|THESE  בני|HNcmpc|H1121|SON  אהרן|HNp|H175|  אלעזר|HNp|H499|  בנו|HNcmsc/Sp3ms|H1121|SON  פינחס|HNp|H6372|  בנו|HNcmsc/Sp3ms|H1121|SON  אבישוע|HNp|H50|  בנו|HNcmsc/Sp3ms|H1121|SON
6:51	בקי|HNp|H1231|  בנו|HNcmsc/Sp3ms|H1121|SON  עזי|HNp|H5813|  בנו|HNcmsc/Sp3ms|H1121|SON  זרחיה|HNp|H2228|  בנו|HNcmsc/Sp3ms|H1121|SON
6:52	מריות|HNp|H4812|  בנו|HNcmsc/Sp3ms|H1121|SON  אמריה|HNp|H568|  בנו|HNcmsc/Sp3ms|H1121|SON  אחיטוב|HNp|H285|  בנו|HNcmsc/Sp3ms|H1121|SON
6:53	צדוק|HNp|H6659|  בנו|HNcmsc/Sp3ms|H1121|SON  אחימעץ|HNp|H290|  בנו|HNcmsc/Sp3ms|H1121|SON
6:54	ואלה|HC/Pdxcp|H428|THESE  מושבותם|HNcmpc/Sp3mp|H4186|SETTLING  לטירותם|HR/Ncfpc/Sp3mp|H2918|ROW OF TENTS  בגבולם|HR/Ncmsc/Sp3mp|H1366|BORDER  לבני|HR/Ncmpc|H1121|SON  אהרן|HNp|H175|  למשפחת|HR/Ncfsc|H4940|CLAN  הקהתי|HTd/Ngmsa|H6956|  כי|HC|H3588|GIVEN THAT  להם|HR/Sp3mp|None|  היה|HVqp3ms|H1961|EXIST (V)  הגורל|HTd/Ncmsa|H1486|LOT
6:55	ויתנו|HC/Vqw3mp|H5414|TERRIBLE  להם|HR/Sp3mp|None|  את|HTo|H853|AT  חברון|HNp|H2275|  בארץ|HR/Ncbsc|H776|LAND  יהודה|HNp|H3063|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  סביבתיה|HNcbpc/Sp3fs|H5439|ALL AROUND
6:56	ואת|HC/To|H853|AT  שדה|HNcmsc|H7704|FIELD  העיר|HTd/Ncfsa|H5892|CITY  ואת|HC/To|H853|AT  חצריה|HNcbpc/Sp3fs|H2691|COURTYARD  נתנו|HVqp3cp|H5414|TERRIBLE  לכלב|HR/Np|H3612|  בן|HNcmsc|H1121|SON  יפנה|HNp|H3312|
6:57	ולבני|HC/R/Ncmpc|H1121|SON  אהרן|HNp|H175|  נתנו|HVqp3cp|H5414|TERRIBLE  את|HTo|H853|AT  ערי|HNcfpc|H5892|CITY  המקלט|HTd/Ncmsa|H4733|REFUGE  את|HTo|H853|AT  חברון|HNp|H2275|  ואת|HC/To|H853|AT  לבנה|HNp|H3841|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  יתר|HNp|H3492|  ואת|HC/To|H853|AT  אשתמע|HNp|H851|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:58	ואת|HC/To|H853|AT  חילז|HNp|H2432|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  את|HTo|H853|AT  דביר|HNp|H1688|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:59	ואת|HC/To|H853|AT  עשן|HNp|H6228|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  בית|HNp|H1053|  שמש|HNp|H1053|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:60	וממטה|HC/R/Ncmsc|H4294|BRANCH  בנימן|HNp|H1144|  את|HTo|H853|AT  גבע|HNp|H1387|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  עלמת|HNp|H5964|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  ענתות|HNp|H6068|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  כל|HNcmsc|H3605|ALL  עריהם|HNcfpc/Sp3mp|H5892|CITY  שלש|HAcfsa|H7969|THREE  עשרה|HAcfsa|H6240|TEN  עיר|HNcfsa|H5892|CITY  במשפחותיהם|HR/Ncfpc/Sp3mp|H4940|CLAN
