## 18:1
12	מִנֶּֽגֶד	H5048	HR/R	OPPOSITE

## 18:14
01	וַיֹּ֣אמֶר	H559	HC/Vqw3ms	SAY (V)
02	יוֹאָ֔ב	H3097	HNp	
03	לֹא	H3808	HTn	NOT
04	כֵ֖ן	H3651	HD	SO
05	אֹחִ֣ילָה	H3176	HVhi1cs	STAY (V)
06	לְפָנֶ֑יךָ	H6440	HR/Ncbpc/Sp2ms	FACE
07	וַיִּקַּח֩	H3947	HC/Vqw3ms	TAKE (V)
08	שְׁלֹשָׁ֨ה	H7969	HAcmsa	THREE
09	שְׁבָטִ֜ים	H7626	HNcmpa	STAFF
10	בְּכַפּ֗וֹ	H3709	HR/Ncfsc/Sp3ms	PALM
11	וַיִּתְקָעֵם֙	H8628	HC/Vqw3ms/Sp3mp	THRUST (V)
12	בְּלֵ֣ב	H3820	HR/Ncmsc	HEART
13	אַבְשָׁל֔וֹם	H53	HNp	
14	עוֹדֶ֥נּוּ	H5750	HD/Sp3ms	YET AGAIN
15	חַ֖י	H2416	HAamsa	LIVING
16	בְּלֵ֥ב	H3820	HR/Ncmsc	HEART
17	הָאֵלָֽה	H424	HTd/Ncfsa	OAK

## 18:15
01	וַיָּסֹ֨בּוּ֙	H5437	HC/Vqw3mp	GO AROUND (V)
02	עֲשָׂרָ֣ה	H6235	HAcmsa	TEN
03	נְעָרִ֔ים	H5288	HNcmpa	YOUNG MAN
04	נֹשְׂאֵ֖י	H5375	HVqrmpc	LIFT UP (V)
05	כְּלֵ֣י	H3627	HNcmpc	ITEM
06	יוֹאָ֑ב	H3097	HNp	
07	וַיַּכּ֥וּ	H5221	HC/Vhw3mp	HIT (V)
08	אֶת	H853	HTo	AT
09	אַבְשָׁל֖וֹם	H53	HNp	
10	וַיְמִיתֻֽהוּ	H4191	HC/Vhw3mp/Sp3ms	DIE (V)

## 18:16
01	וַיִּתְקַ֤ע	H8628	HC/Vqw3ms	THRUST (V)
02	יוֹאָב֙	H3097	HNp	
03	בַּשֹּׁפָ֔ר	H7782	HRd/Ncmsa	RAM HORN
04	וַיָּ֣שָׁב	H7725	HC/Vqw3ms	TURN BACK (V)
05	הָעָ֔ם	H5971	HTd/Ncmsa	PEOPLE
06	מִרְדֹ֖ף	H7291	HR/Vqc	PURSUE (V)
07	אַחֲרֵ֣י	H310	HR	AFTER
08	יִשְׂרָאֵ֑ל	H3478	HNp	
09	כִּֽי	H3588	HC	GIVEN THAT
10	חָשַׂ֥ךְ	H2820	HVqp3ms	KEEP BACK (V)
11	יוֹאָ֖ב	H3097	HNp	
12	אֶת	H853	HTo	AT
13	הָעָֽם	H5971	HTd/Ncmsa	PEOPLE

## 18:17
01	וַיִּקְח֣וּ	H3947	HC/Vqw3mp	TAKE (V)
02	אֶת	H853	HTo	AT
03	אַבְשָׁל֗וֹם	H53	HNp	
04	וַיַּשְׁלִ֨יכוּ	H7993	HC/Vhw3mp	REALM
05	אֹת֤וֹ	H853	HTo/Sp3ms	AT
06	בַיַּ֨עַר֙	H3293	HRd/Ncmsa	FOREST
07	אֶל	H413	HR	TO
08	הַפַּ֣חַת	H6354	HTd/Ncmsa	PIT
09	הַגָּד֔וֹל	H1419	HTd/Aamsa	GREAT
10	וַיַּצִּ֧בוּ	H5324	HC/Vhw3mp	TRUTH
11	עָלָ֛יו	H5921	HR/Sp3ms	UPON
12	גַּל	H1530	HNcmsc	MOUND
13	אֲבָנִ֖ים	H68	HNcfpa	STONE
14	גָּד֣וֹל	H1419	HAamsa	GREAT
15	מְאֹ֑ד	H3966	HD	MANY
16	וְכָל	H3605	HC/Ncmsc	ALL
17	יִשְׂרָאֵ֔ל	H3478	HNp	
18	נָ֖סוּ	H5127	HVqp3cp	FLEE (V)
19	אִ֥ישׁ	H376	HNcmsa	MAN

## 18:18
01	וְאַבְשָׁלֹ֣ם	H53	HC/Np	
02	לָקַ֗ח	H3947	HVqp3ms	TAKE (V)
03	וַיַּצֶּב	H5324	HC/Vhw3ms	TRUTH
04	ל֤וֹ	None	HR/Sp3ms	
