Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote	VerseId
JOL	2	10	iu1h	figs-personification	לְ⁠פָנָי⁠ו֙ רָ֣גְזָה אֶ֔רֶץ רָעֲשׁ֖וּ שָׁמָ֑יִם	1.0	The earth shakes in front of them, the heavens tremble	Joel speaks of the earth and heavens as if they were people who are shaking with fear. This can be translated as either a hyperbole, that the army is so frightening that even things that are not alive are afraid, or as metonymy, that the earth and the heavens are metonyms for the beings who live there. Alternate translation: “Everyone on earth and in the heavens is very afraid” (See: [[rc://en/ta/man/translate/figs-personification]] and [[rc://en/ta/man/translate/figs-hyperbole]])	JOL 2:10
JOL	2	10	lm84	figs-hyperbole	שֶׁ֤מֶשׁ וְ⁠יָרֵ֨חַ֙ קָדָ֔רוּ וְ⁠כוֹכָבִ֖ים אָסְפ֥וּ נָגְהָֽ⁠	1.0	the sun and the moon are darkened, and the stars stop shining	This exaggeration claims that there are so many locusts that people cannot see the sun, moon, or stars. (See: [[rc://en/ta/man/translate/figs-hyperbole]])	JOL 2:10
JOL	2	11	tzv4	figs-hendiadys	גָד֧וֹל…וְ⁠נוֹרָ֥א מְאֹ֖ד	1.0	great and very terrible	In this phrase both descriptions mean basically the same thing. Alternate translation: “greatly terrible” (See: [[rc://en/ta/man/translate/figs-hendiadys]])	JOL 2:11
JOL	2	11	vht4	figs-rquestion	וּ⁠מִ֥י יְכִילֶֽ⁠נּוּ	1.0	Who can survive it?	If your readers would misunderstand this question, you can express it as a statement. Alternate translation: “No one will be strong enough to survive Yahweh’s judgment.” (See: [[rc://en/ta/man/translate/figs-rquestion]])	JOL 2:11
JOL	2	12	d1i9	figs-metonymy	שֻׁ֥בוּ עָדַ֖⁠י בְּ⁠כָל־לְבַבְ⁠כֶ֑ם	1.0	Return to me with all your heart	The heart is a metonym for what the person thinks and loves. Alternate translation: “Turn away from your sins and be totally devoted to me” (See: [[rc://en/ta/man/translate/figs-metonymy]])	JOL 2:12
JOL	2	13	d1sf	figs-metonymy	וְ⁠קִרְע֤וּ לְבַבְ⁠כֶם֙ וְ⁠אַל־בִּגְדֵי⁠כֶ֔ם	1.0	Tear your heart and not only your garments	The heart is a metonym for what the person thinks and loves. Tearing one’s clothes is an outward act of shame or repentance. Alternate translation: “Change your way of thinking; do not just tear your garments” (See: [[rc://en/ta/man/translate/figs-metonymy]])	JOL 2:13
JOL	2	13	wfp5	figs-abstractnouns	וְ⁠רַב־חֶ֔סֶד	1.0	abundant in covenant faithfulness	If your language does not use an abstract noun for the idea behind the word **faithfulness**, you could express the same idea with a verbal form such as “faithful” or “faithfully.” Alternate translation: “always faithful to his covenant” or “always loves faithfully” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])	JOL 2:13
JOL	2	14	a2av	figs-rquestion	יָשׁ֣וּב וְ⁠נִחָ֑ם וְ⁠הִשְׁאִ֤יר אַֽחֲרָי⁠ו֙ בְּרָכָ֔ה מִנְחָ֣ה וָ⁠נֶ֔סֶךְ לַ⁠יהוָ֖ה אֱלֹהֵי⁠כֶֽם	1.0	Will he perhaps turn … God?	If your readers would misunderstand this question, you can express it as a statement. Alternate translation: “Perhaps Yahweh will turn from his anger … God.” (See: [[rc://en/ta/man/translate/figs-rquestion]])	JOL 2:14
JOL	2	17	kqr6	figs-metaphor	נַחֲלָתְ⁠ךָ֤	1.0	your inheritance	Here the people of Israel are spoken of as God’s inheritance. Alternate translation: “your special people” (See: [[rc://en/ta/man/translate/figs-metaphor]])	JOL 2:17
JOL	2	17	ey9s	figs-rquestion	לָ֚⁠מָּה יֹאמְר֣וּ בָֽ⁠עַמִּ֔ים אַיֵּ֖ה אֱלֹהֵי⁠הֶֽם	1.0	Why should they say among the nations, ‘Where is their God?’	If your readers would misunderstand this question, you can express it as a statement. Alternate translation: “Other nations should not be able to say, ‘Their God does not help them.’” or “Other nations should not be able to say that the God of Israel has abandoned his people.” (See: [[rc://en/ta/man/translate/figs-rquestion]])	JOL 2:17
