MACULA_IDs	MARBLE_IDs
o010010260161	00100102600066
o010010260162	00100102600068
o010010260171	00100102600070
o010010260172	00100102600072
o010010260181	00100102600074
o010010260191	00100102600076
o010010260192	00100102600078
o010010270011	00100102700002
o010010270012	00100102700004
o010010270021	00100102700006
o010010270031	00100102700008
o010010270041	00100102700010
o010010270042	00100102700012
o010010270051	00100102700014
o010010270052 o010010270053	00100102700016
o010010270061	00100102700018
o010010270062	00100102700020
o010010270071	00100102700022
o010010270081	00100102700024
o010010270091 o010010270092	00100102700026
o010010270101	00100102700028
o010010270111	00100102700030
o010010270112	00100102700032
o010010270121	00100102700034
o010010270131 o010010270132	00100102700036
o010010280011	00100102800002
o010010280012	00100102800004
o010010280021 o010010280022	00100102800006
o010010280031	00100102800008
o010010280041	00100102800010
o010010280042	00100102800012
o010010280051 o010010280052	00100102800014
o010010280061	00100102800016
o010010280071	00100102800018
o010010280081	00100102800020
o010010280082	00100102800022
o010010280091	00100102800024
o010010280092	00100102800026
o010010280101	00100102800028
o010010280111	00100102800030
o010010280112	00100102800032
o010010280121	00100102800034
o010010280122 o010010280123	00100102800036
o010010280131	00100102800038
o010010280132	00100102800040
o010010280141	00100102800042
o010010280142	00100102800044
o010010280151	00100102800046
o010010280152	00100102800048
o010010280161	00100102800050
o010010280162	00100102800052
o010010280163	00100102800054
o010010280171	00100102800056
o010010280172	00100102800058
o010010280181	00100102800060
o010010280182	00100102800062
o010010280183	00100102800064
o010010280191	00100102800066
o010010280201	00100102800068
o010010280202	00100102800070
o010010280211	00100102800072
o010010280221	00100102800074
o010010280222	00100102800076
o010010290011	00100102900002
o010010290012	00100102900004
o010010290021	00100102900006
o010010290031	00100102900008
o010010290041	00100102900010
o010010290051 o010010290052	00100102900012
o010010290061	00100102900014
o010010290071	00100102900016
o010010290081	00100102900018
o010010290091	00100102900020
o010010290101	00100102900022
o010010290111	00100102900024
o010010290121	00100102900026
o010010290131	00100102900028
o010010290141	00100102900030
o010010290151	00100102900032
o010010290152	00100102900034
o010010290161	00100102900036
o010010290162	00100102900038
o010010290171	00100102900040
o010010290181	00100102900042
o010010290182	00100102900044
o010010290191	00100102900046
o010010290201 o010010290202	00100102900048
o010010290211	00100102900050
o010010290221	00100102900052
o010010290231	00100102900054
o010010290241	00100102900056
o010010290251 o010010290252	00100102900058
o010010290261	00100102900060
o010010290271	00100102900062
o010010290272	00100102900064
o010010300011	00100103000002
o010010300012	00100103000004
o010010300013	00100103000006
o010010300021	00100103000008
o010010300031	00100103000010
o010010300032	00100103000012
o010010300041	00100103000014
o010010300042	00100103000016
o010010300043	00100103000018
o010010300051	00100103000020
o010010300061	00100103000022
o010010300062	00100103000024
o010010300071	00100103000026
o010010300072	00100103000028
o010010300073	00100103000030
o010010300081	00100103000032
o010010300091	00100103000034
o010010300101	00100103000036
o010010300102	00100103000038
o010010300111	00100103000040
o010010300121 o010010300122	00100103000042
o010010300131	00100103000044
o010010300141	00100103000046
o010010300151	00100103000048
o010010300161	00100103000050
o010010300171	00100103000052
o010010300181	00100103000054
o010010300191	00100103000056
o010010300192	00100103000058
o010010300201	00100103000060
o010010300202	00100103000062
o010010300211	00100103000064
o010010310011	00100103100002
o010010310012	00100103100004
o010010310021	00100103100006
o010010310031	00100103100008
o010010310041	00100103100010
o010010310051	00100103100012
o010010310061	00100103100014
o010010310071	00100103100016
o010010310072	00100103100018
o010010310081	00100103100020
o010010310091	00100103100022
o010010310101	00100103100024
o010010310102	00100103100026
o010010310111	00100103100028
o010010310121	00100103100030
o010010310122	00100103100032
o010010310131	00100103100034
o010010310141	00100103100036
o010010310151	00100103100038
o010010310152	00100103100040
o010020010011	00100200100002
o010020010012	00100200100004
o010020010021	00100200100006
o010020010022	00100200100008
o010020010031	00100200100010
o010020010032	00100200100012
o010020010033	00100200100014
o010020010041	00100200100016
o010020010042	00100200100018
o010020010051 o010020010052	00100200100020
o010020020011	00100200200002
o010020020012	00100200200004
o010020020021	00100200200006
o010020020031	00100200200008
o010020020032	00100200200012
o010020020041	00100200200014
o010020020042	00100200200016
o010020020051 o010020020052	00100200200018
o010020020061	00100200200020
o010020020071	00100200200022
o010020020081	00100200200024
o010020020082	00100200200026
o010020020091	00100200200028
o010020020092	00100200200032
o010020020101	00100200200034
o010020020102	00100200200036
o010020020111	00100200200038
o010020020112	00100200200040
o010020020121 o010020020122	00100200200042
o010020020131	00100200200044
o010020020141	00100200200046
o010020030011	00100200300002
o010020030012	00100200300004
o010020030021	00100200300006
o010020030031	00100200300008
o010020030041	00100200300010
o010020030051	00100200300012
o010020030052	00100200300014
o010020030061	00100200300016
o010020030062	00100200300018
o010020030071 o010020030072	00100200300020
o010020030081	00100200300022
o010020030091 o010020030092	00100200300024
o010020030101	00100200300026
o010020030111	00100200300028
o010020030112	00100200300030
o010020030121 o010020030122	00100200300032
o010020030131	00100200300034
o010020030141	00100200300036
o010020030151	00100200300038
o010020030161	00100200300040
o010020030162	00100200300042
o010020040011	00100200400002
o010020040021	00100200400004
o010020040031	00100200400006
o010020040032	00100200400008
o010020040041	00100200400010
o010020040042	00100200400012
o010020040043	00100200400014
o010020040051	00100200400016
o010020040052 o010020040053	00100200400018
o010020040061	00100200400020
o010020040062	00100200400022
o010020040071	00100200400024
o010020040081	00100200400026
o010020040091	00100200400028
o010020040101	00100200400030
o010020040111	00100200400032
o010020040112	00100200400034
o010020050011	00100200500002
o010020050012	00100200500004
o010020050021	00100200500006
o010020050031	00100200500008
o010020050032	00100200500010
o010020050041	00100200500012
o010020050051	00100200500014
o010020050061	00100200500016
o010020050062	00100200500020
o010020050071	00100200500022
o010020050072	00100200500024
o010020050081	00100200500026
o010020050091	00100200500028
o010020050092	00100200500030
o010020050101	00100200500032
o010020050111	00100200500034
o010020050121	00100200500036
o010020050131	00100200500038
o010020050141	00100200500040
o010020050151	00100200500042
o010020050161	00100200500044
o010020050171	00100200500046
o010020050181	00100200500048
o010020050182	00100200500050
o010020050191	00100200500052
o010020050192	00100200500054
o010020050201	00100200500056
o010020050211	00100200500058
o010020050212	00100200500060
o010020050221	00100200500062
o010020050231	00100200500064
o010020050232	00100200500066
o010020060011	00100200600002
o010020060012	00100200600004
o010020060021	00100200600006
o010020060031	00100200600008
o010020060041	00100200600010
o010020060042	00100200600012
o010020060051	00100200600014
o010020060052	00100200600016
o010020060061	00100200600018
o010020060071	00100200600020
o010020060081	00100200600022
o010020060091	00100200600024
o010020060092	00100200600026
o010020070011	00100200700002
o010020070012	00100200700004
o010020070021	00100200700006
o010020070031	00100200700008
o010020070041	00100200700010
o010020070051	00100200700012
o010020070052	00100200700014
o010020070061	00100200700016
o010020070071	00100200700018
o010020070081	00100200700020
o010020070082	00100200700022
o010020070091	00100200700024
o010020070092	00100200700026
o010020070101	00100200700028
o010020070102 o010020070103	00100200700030
o010020070111	00100200700032
o010020070121	00100200700034
o010020070131	00100200700036
o010020070132	00100200700038
o010020070141	00100200700040
o010020070142	00100200700042
o010020070151	00100200700044
o010020070152	00100200700046
o010020070161	00100200700048
o010020080011	00100200800002
o010020080012	00100200800004
o010020080021	00100200800006
o010020080031	00100200800008
o010020080041	00100200800010
o010020080051	00100200800012
o010020080052	00100200800014
o010020080061	00100200800016
o010020080062	00100200800018
o010020080071	00100200800020
o010020080072	00100200800022
o010020080081	00100200800024
o010020080091	00100200800026
o010020080101	00100200800028
o010020080102	00100200800030
o010020080111	00100200800032
o010020080121	00100200800034
o010020090011	00100200900002
o010020090012	00100200900004
o010020090021	00100200900006
o010020090031	00100200900008
