010010120051	מַזְרִ֤יעַ	yielding	结
010010120061	זֶ֙רַע֙	seed	种子
010010120071	לְ	according to	
010010120072	מִינ	kind	各种各样
010010120073	ֵ֔הוּ	their	
010010120081	וְ	and	及
010010120082	עֵ֧ץ	trees	树
010010120091	עֹֽשֶׂה־	bearing	结
010010120101	פְּרִ֛י	fruit	果子
010010120111	אֲשֶׁ֥ר	which	
010010120121	זַרְע	seed	种子
010010120122	וֹ־	their	其
010010120131	ב	in	里
010010120132	֖וֹ	it	其
010010120141	לְ	according to	
010010120142	מִינ	kind	各从其类
010010120143	ֵ֑הוּ	their	
010010120151	וַ	and	
010010120152	יַּ֥רְא	saw	看
010010120161	אֱלֹהִ֖ים	God	神/上帝
010010120171	כִּי־	that	是~的
010010120181	טֽוֹב	good	好
010010130011	וַֽ	and	于是
010010130012	יְהִי־	there was	有
010010130021	עֶ֥רֶב	evening	晚上
010010130031	וַֽ	and	
010010130032	יְהִי־	there was	有
010010130041	בֹ֖קֶר	morning	早晨
010010130051	י֥וֹם	day	日
010010130061	שְׁלִישִֽׁי	third	第三
010010140011	וַ	and	又
010010140012	יֹּ֣אמֶר	said	说
010010140021	אֱלֹהִ֗ים	God	神/上帝
010010140031	יְהִ֤י	be	有
010010140041	מְאֹרֹת֙	lights	光体
010010140051	בִּ	in	中
010010140052	רְקִ֣יעַ	expanse	穹苍
010010140061	הַ	the	
010010140062	שָּׁמַ֔יִם	sky	天空
010010140071	לְ	to	来
010010140072	הַבְדִּ֕יל	separate	分
010010140081	בֵּ֥ין	between	之间
010010140091	הַ	the	
010010140092	יּ֖וֹם	day	白天
010010140101	וּ	and	和
010010140102	בֵ֣ין	from	
010010140111	הַ	the	
010010140112	לָּ֑יְלָה	night	黑夜
010010140121	וְ	and	
010010140122	הָי֤וּ	be	作为
010010140131	לְ	as	
010010140132	אֹתֹת֙	signs	记号
010010140141	וּ	and	和
010010140142	לְ	for	来
010010140143	מ֣וֹעֲדִ֔ים	seasons	季节
010010140151	וּ	and	和
010010140152	לְ	for	
010010140153	יָמִ֖ים	days	日子
010010140161	וְ	and	和
010010140162	שָׁנִֽים	years	年岁
010010150011	וְ	and	
010010150012	הָי֤וּ	be	做
010010150021	לִ	as	
010010150022	מְאוֹרֹת֙	lights	发光
010010150031	בִּ	in	在
010010150032	רְקִ֣יעַ	expanse	穹苍
010010150041	הַ	the	
010010150042	שָּׁמַ֔יִם	sky	天上
010010150051	לְ	to	来
010010150052	הָאִ֖יר	give light	照亮
010010150061	עַל־	on	在
010010150071	הָ	the	
010010150072	אָ֑רֶץ	earth	地上
010010150081	וַֽ	and	就
010010150082	יְהִי־	was	成
010010150091	כֵֽן	so	这样
010010160011	וַ	and	于是
010010160012	יַּ֣עַשׂ	made	造
010010160021	אֱלֹהִ֔ים	God	神/上帝
010010160031	אֶת־		
010010160041	שְׁנֵ֥י	two	两
010010160051	הַ	the	
010010160052	מְּאֹרֹ֖ת	lights	光体
010010160061	הַ	the	
010010160062	גְּדֹלִ֑ים	great	大
010010160071	אֶת־		
010010160081	הַ	the	
010010160082	מָּא֤וֹר	light	发光体
010010160091	הַ	the	
010010160092	גָּדֹל֙	greater	大
010010160101	לְ	to	来
010010160102	מֶמְשֶׁ֣לֶת	rule	管
010010160111	הַ	the	
010010160112	יּ֔וֹם	day	白天
010010160121	וְ	and	而
010010160122	אֶת־		
010010160131	הַ	the	
010010160132	מָּא֤וֹר	light	发光体
010010160141	הַ	the	
010010160142	קָּטֹן֙	lesser	小
010010160151	לְ	to	来
010010160152	מֶמְשֶׁ֣לֶת	rule	管
010010160161	הַ	the	
010010160162	לַּ֔יְלָה	night	黑夜
010010160171	וְ	also	
010010160172	אֵ֖ת		
010010160181	הַ	the	
010010160182	כּוֹכָבִֽים	stars	星星
010010170011	וַ	and	就
010010170012	יִּתֵּ֥ן	placed	安置
010010170021	אֹת		
010010170022	ָ֛ם	them	它们
010010170031	אֱלֹהִ֖ים	God	神/上帝
010010170041	בִּ	in	在
010010170042	רְקִ֣יעַ	expanse	穹苍
010010170051	הַ	the	
010010170052	שָּׁמָ֑יִם	sky	天上
010010170061	לְ	to	好
010010170062	הָאִ֖יר	give light	照亮
010010170071	עַל־	on	在
010010170081	הָ	the	
010010170082	אָֽרֶץ	earth	地上
010010180011	וְ	and	
010010180012	לִ	to	来
010010180013	מְשֹׁל֙	rule	支配
010010180021	בַּ	over	在
010010180022		the	
010010180023	יּ֣וֹם	day	白天
010010180031	וּ	and	和
010010180032	בַ	over	在
010010180033		the	
010010180034	לַּ֔יְלָה	night	黑夜
010010180041	וּֽ	and	又
010010180042	לֲ	to	
010010180043	הַבְדִּ֔יל	separate	分别
010010180051	בֵּ֥ין	between	之间
010010180061	הָ	the	
010010180062	א֖וֹר	light	光
010010180071	וּ	and	和
010010180072	בֵ֣ין	from	
010010180081	הַ	the	
010010180082	חֹ֑שֶׁךְ	darkness	暗
010010180091	וַ	and	
010010180092	יַּ֥רְא	saw	看
010010180101	אֱלֹהִ֖ים	God	神/上帝
010010180111	כִּי־	that	是~的
010010180121	טֽוֹב	good	好
010010190011	וַֽ	and	于是
010010190012	יְהִי־	there was	有
010010190021	עֶ֥רֶב	evening	晚上
010010190031	וַֽ	and	
010010190032	יְהִי־	there was	有
010010190041	בֹ֖קֶר	morning	早晨
010010190051	י֥וֹם	day	日
010010190061	רְבִיעִֽי	fourth	第四
010010200011	וַ	and	又
010010200012	יֹּ֣אמֶר	said	说
010010200021	אֱלֹהִ֔ים	God	神/上帝
010010200031	יִשְׁרְצ֣וּ	swarm	滋生
010010200041	הַ	the	
010010200042	מַּ֔יִם	waters	水
010010200051	שֶׁ֖רֶץ	swarms of ~ creatures	成群
010010200061	נֶ֣פֶשׁ	creatures	物
010010200071	חַיָּ֑ה	living	有生命
010010200081	וְ	and	
010010200082	עוֹף֙	birds	飞鸟
010010200091	יְעוֹפֵ֣ף	fly	飞
010010200101	עַל־	above	在~以上
010010200111	הָ	the	
010010200112	אָ֔רֶץ	earth	地面
010010200121	עַל־	across	之中
010010200131	פְּנֵ֖י	face	之中
010010200141	רְקִ֥יעַ	expanse	穹苍
010010200151	הַ	the	
010010200152	שָּׁמָֽיִם	sky	天
010010210011	וַ	so	于是
010010210012	יִּבְרָ֣א	created	创造
010010210021	אֱלֹהִ֔ים	God	神/上帝
010010210031	אֶת־		
010010210041	הַ	the	
010010210042	תַּנִּינִ֖ם	sea monsters	海兽
010010210051	הַ	the	
010010210052	גְּדֹלִ֑ים	great	巨大
010010210061	וְ	and	及
010010210062	אֵ֣ת		
010010210071	כָּל־	every	各样
010010210081	נֶ֣פֶשׁ	creature	动物
010010210091	הַֽ	the	
010010210092	חַיָּ֣ה ׀	living	活的
010010210101	הָֽ	the	
010010210102	רֹמֶ֡שֶׂת	moves	活动
010010210111	אֲשֶׁר֩	which	
010010210121	שָׁרְצ֨וּ	swarm	滋生
010010210131	הַ	the	
010010210132	מַּ֜יִם	waters	水
010010210141	לְ	according to	
010010210142	מִֽינ	kind	各从其类
010010210143	ֵהֶ֗ם	their	
010010210151	וְ	and	及
010010210152	אֵ֨ת		
010010210161	כָּל־	every	各样
010010210171	ע֤וֹף	bird	飞鸟
010010210181	כָּנָף֙	winged	翅膀
010010210191	לְ	according to	
010010210192	מִינ	kind	各从其类
010010210193	ֵ֔הוּ	its	
010010210201	וַ	and	
010010210202	יַּ֥רְא	saw	看
010010210211	אֱלֹהִ֖ים	God	神/上帝
010010210221	כִּי־	that	是~的
010010210231	טֽוֹב	good	好
010010220011	וַ	and	就
010010220012	יְבָ֧רֶךְ	blessed	赐福
010010220021	אֹת		给
010010220022	ָ֛ם	them	它们
010010220031	אֱלֹהִ֖ים	God	神
010010220041	לֵ	to	
010010220042	אמֹ֑ר	saying	说
010010220051	פְּר֣וּ	fruitful	繁殖
010010220061	וּ	and	
010010220062	רְב֗וּ	multiply	增多
010010220071	וּ	and	又
010010220072	מִלְא֤וּ	fill	充满
010010220081	אֶת־		
010010220091	הַ	the	
010010220092	מַּ֙יִם֙	waters	水
010010220101	בַּ	in	中
010010220102		the	
010010220103	יַּמִּ֔ים	seas	海
010010220111	וְ	and	
010010220112	הָ	the	
010010220113	ע֖וֹף	birds	飞鸟
010010220121	יִ֥רֶב	multiply	增多
010010220131	בָּ	on	在
010010220132		the	
010010220133	אָֽרֶץ	earth	地上
010010230011	וַֽ	and	于是
010010230012	יְהִי־	there was	有
010010230021	עֶ֥רֶב	evening	晚上
010010230031	וַֽ	and	
010010230032	יְהִי־	there was	有
010010230041	בֹ֖קֶר	morning	早晨
010010230051	י֥וֹם	day	日
010010230061	חֲמִישִֽׁי	fifth	第五
010010240011	וַ	and	又
010010240012	יֹּ֣אמֶר	said	说
010010240021	אֱלֹהִ֗ים	God	神/上帝
010010240031	תּוֹצֵ֨א	bring forth	生出
010010240041	הָ	the	
010010240042	אָ֜רֶץ	earth	地
010010240051	נֶ֤פֶשׁ	creatures	动物
010010240061	חַיָּה֙	living	有生命
010010240071	לְ	according to	
010010240072	מִינ	kind	各种各样
010010240073	ָ֔הּ	their	
010010240081	בְּהֵמָ֥ה	cattle	牲畜
010010240091	וָ	and	和
010010240092	רֶ֛מֶשׂ	creeping things	昆虫
010010240101	וְ	and	和
010010240102	חַֽיְתוֹ־	beasts	野兽
010010240111	אֶ֖רֶץ	earth	地上
010010240121	לְ	according to	
010010240122	מִינ	kind	各从其类
010010240123	ָ֑הּ	their	
010010240131	וַֽ	and	就
010010240132	יְהִי־	was	成
010010240141	כֵֽן	so	这样
010010250011	וַ	and	于是
010010250012	יַּ֣עַשׂ	made	造
010010250021	אֱלֹהִים֩	God	神/上帝
010010250031	אֶת־		
010010250041	חַיַּ֨ת	animals	野兽
010010250051	הָ	the	
010010250052	אָ֜רֶץ	earth	地上
010010250061	לְ	according to	
010010250062	מִינ	kind	各种各样
010010250063	ָ֗הּ	their	
010010250071	וְ	and	和
010010250072	אֶת־		
010010250081	הַ	the	
010010250082	בְּהֵמָה֙	cattle	牲畜
010010250091	לְ	according to	
010010250092	מִינ	kind	各从其类
010010250093	ָ֔הּ	their	
010010250101	וְ	and	和
010010250102	אֵ֛ת		
010010250111	כָּל־	everything	一切
010010250121	רֶ֥מֶשׂ	creeps	昆虫
010010250131	הָֽ	the	
010010250132	אֲדָמָ֖ה	ground	地上
010010250141	לְ	according to	
010010250142	מִינ	kind	各从其类
010010250143	ֵ֑הוּ	its	
010010250151	וַ	and	
010010250152	יַּ֥רְא	saw	看
010010250161	אֱלֹהִ֖ים	God	神/上帝
010010250171	כִּי־	that	是~的
010010250181	טֽוֹב	good	好
010010260011	וַ	then	又
010010260012	יֹּ֣אמֶר	said	说
010010260021	אֱלֹהִ֔ים	God	神/上帝
010010260031	נַֽעֲשֶׂ֥ה	make	造
010010260041	אָדָ֛ם	man	人
010010260051	בְּ	in	照着
010010260052	צַלְמ	image	形像
010010260053	ֵ֖נוּ	our	我们
010010260061	כִּ	according to	按着
010010260062	דְמוּת	likeness	样式
010010260063	ֵ֑נוּ	our	我们
010010260071	וְ	and	
010010260072	יִרְדּוּ֩	rule	管理
010010260081	בִ	over	里
010010260082	דְגַ֨ת	fish	鱼
010010260091	הַ	the	
010010260092	יָּ֜ם	sea	海
010010260101	וּ	and	和
010010260102	בְ	over	
